Spanish
de 
debes 114812
viene 114395
venga 114109
nuestros 114018
ojos 113772
adelante 113192
encontrar 113028
mano 112665
cinco 112532
niño 112512
ninguna 112227
otros 112169
cara 111953
cuidado 111524
bajo 111241
cerca 110690
viejo 110403
déjame 109679
noches 109592
bastante 109431
fin 109402
tomar 109183
único 108435
misma 108033
escucha 107286
ningún 107193
suficiente 107106
punto 106940
cuándo 106920
sigue 106764
haya 106729
equipo 106584
grande 106057
necesita 105889
llegar 105719
incluso 105304
algunos 105052
doctor 104991
difícil 104985
aunque 104655
hubiera 104473
primer 104138
coche 103946
hago 103901
clase 103827
cuatro 103805
mas 103445
dices 103279
pequeño 103016
llama 102848
toma 102733
hiciste 102722
allá 102642
última 102333
arriba 102254
tierra 102197
guerra 101887
pensar 101695
pueda 101487
igual 101272
loco 100021
sangre 99844
mujeres 99536
vuelta 99529
fui 99366
trabajar 99262
tenido 99237
juego 99041
deberías 98960
cuerpo 98410
e 96622
algunas 96075
entrar 95899
cree 95859
podía 95527
debemos 95445
oportunidad 95375
teléfono 95015
necesitamos 94964
final 94883
listo 94769
fiesta 94739
muchos 94250
estabas 94097
quieren 94018
vete 93782
auto 93654
dar 92706
vivir 92629
posible 92449
ok 92398
hermana 92291
número 92183
meses 92062
exactamente 91598
culpa 91506
abajo 91298
escuela 90725
ido 90670
fuerte 90226
diciendo 90048
habla 90023
esté 89826
ello 89741
pregunta 89617
chicas 89467
eran 89418
unas 89043
pasando 88887
atrás 88877
malo 88555
capitán 88550
sra. 88400
bebé 88307
segundo 88232
sabemos 87714
mayor 87707
comida 87661
morir 87614
conozco 87429
dame 87200
fácil 87099
comer 86671
vino 86406
lista 86033
haga 85884
necesitas 85706
hijos 85020
probablemente 84911
padres 84855
habitación 84704
creer 84624
pensando 84438
fueron 84181
dime
