Spanish,English
venir,come
hija,it
gustaría,would like
minutos,minutes
cuánto,how much
os,you
hey,hey
muerte,death
dejar,leave
realidad,reality
deja,already
problemas,problems
vi,we
da,and
importante,important
dijiste,said
corazón,heart
miedo,fear
jefe,boss
agua,water
haré,I will do
justo,fair
horas,hours
poder,can
buenos,good
esposa,wife
manos,hands
debes,you must
viene,he comes
venga,come
nuestros,our
ojos,eyes
adelante,forward
encontrar,meet
mano,thousand
cinco,five
niño,child
ninguna,none
otros,others
cara,method
cuidado,Careful
bajo,low
cerca,fence
viejo,old
déjame,let me
noches,nights
bastante,quite
fin,END
tomar,to take
único,single
misma,same
escucha,listen
ningún,none
suficiente,enough
punto,point
cuándo,when
sigue,go on
haya,these
equipo,equipment
grande,big
necesita,needs
llegar,arrive
incluso,even
algunos,some
doctor,doctor
difícil,difficult
aunque,although
hubiera,had
primer,first
coche,coach
hago,do
clase,class
cuatro,four
mas,but
dices,You say
pequeño,little
llama,calls
toma,take
hiciste,did
allá,there
última,last
arriba,above
tierra,land
guerra,war
pensar,think
pueda,I can
igual,equal
loco,place
sangre,blood
mujeres,women
vuelta,lap
fui,I went
trabajar,work
tenido,had
juego,game
deberías,you should
cuerpo,body
e,It is
algunas,some
entrar,to enter
cree,Believe
podía,could
debemos,must
oportunidad,chance
teléfono,telfle
necesitamos,We need
final,final
listo,List
fiesta,fiesta
muchos,many
estabas,You were
quieren,They want
vete,OWN
auto,auto
dar,but
vivir,live
posible,possible
ok,ok
hermana,sister
número,number
meses,months
exactamente,exactly
culpa,fault
abajo,below
escuela,school
ido,eye
fuerte,strong
diciendo,saying
habla,speaks
esté,this
ello,it
pregunta,ask
chicas,girls
eran,were
unas,nails
pasando,going
atrás,back
malo,room
capitán,captain
sra.,sra.
bebé,baby
segundo,second
sabemos,we know
mayor,mayor
comida,food
morir,die
conozco,know
dame,dame
fácil,easy
comer,eat
vino,wine
lista,list
haga,make
necesitas,you need
hijos,children
probablemente,probably
padres,parents
habitación,room
creer,believe
pensando,thinking
fueron,were
dime,dime
